,DATE,RICE,WHEAT,RAW_OIL,REFINED_HYDROCARBONE,PEANUT_PRODUCTS_QTE,PEANUT_PRODUCTS_VALUE,PECHE,PRINCIPAL,INTERETS,IMPOT_REVENU_ET_SOCIETE,IMPOT_EMPLOYEUR_CFCE,TAXE_BIENS_SERVICES,TAXE_COMMERCE_EXTERIEUR,IMPOT_SUR_PROPRIETE_AUTRES_IMP,FOND_SEC_PP_FSIP,RECETTES_NON_FISCALES,MASSE_SALARIALE,FRAIS_HOSPITALISATION,EFFECTIF,OIGNON_LOCAL,OIGNON_IMPORTE,CEREALES_LOCALES_SOUNA,CEREALES_LOCALES_SORGHO,CEREALES_LOCALES_MAIS,RIZ_BRISE_PARFUME_LUXE,RIZ_BRISE_PARFUME_ORDIN,RIZ_BRISE_NON_PARFUME,RIZ_BRISE_INDIEN_ORD,RIZ_BRISE_LOCAL,AERIEN_MVTS_AERONEFS,AERIEN_PASSAGERS_DEPARTS,AERIEN_PASSAGERS_ARRIVEES,AERIEN_PASSAGERS_TRANSIT,AERIEN_FRET_DEPARTS,AERIEN_FRET_ARRIVEES,MARIT_EMBRQMT_MARCHNDIS_DIV,MARIT_EMBRQMT_PHOSPAHTES,MARIT_EMBARQMT_PRODUIS_MER,MARIT_DEBARQMT_MARCHDIS_DIV,MARIT_DEBARQMT_PETROLE_BRUT,MARIT_DEBARQMT_HYDROCARB_RAFF,MARIT_PDUIT_MER_DEBARQUEMENT,MARIT_PDUIT_MER_TRANSBORDEMENT,RECETTES_FISCALES,RECETTES_BUDGETAIRES,RECETTES_BUDGETAIRES_DIFF,Année,Mois,Trimestre,RECETTES_BUDGETAIRES_lag_1,RECETTES_BUDGETAIRES_lag_2,RECETTES_BUDGETAIRES_lag_3,RECETTES_BUDGETAIRES_lag_6,RECETTES_BUDGETAIRES_lag_12,RECETTES_BUDGETAIRES_ma_3,RECETTES_BUDGETAIRES_ma_6,RECETTES_BUDGETAIRES_ma_12,Mois_sin,Mois_cos,Trimestre_sin,Trimestre_cos
20,2010-09-01,69.624988,49.6714,135.32993,79.222402,13.882335,3.040325451,5.773,29.0,25.0,16.7,0.8,49.4,15.2,4.1,2.9,2.1,31.874343659,0.528431989,85048.0,493.0,519.0,196.0,209.0,193.0,408.0,351.0,290.0,250.0,272.0,2734.0,59813.0,52015.0,12258.0,904.835,723.814,102.751,5.5,5.773,595.7486680000001,135.32993,79.222402,4.831,2.322,89.10000000000001,91.2,-4.799999999999997,2010,9,3,96.0,101.6,162.2,91.9,71.60000000000001,96.26666666666667,109.56666666666666,101.54166666666667,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16
21,2010-10-01,41.717218,31.94308,0.0,68.672778,7.226868,2.19334289,5.361,53.0,34.9,17.900000000000002,0.9,55.2,15.9,3.7,2.9,0.7,35.720930872,0.518047918,85401.0,500.0,401.0,186.0,205.0,193.0,396.0,354.0,297.0,288.0,281.0,3967.0,64024.0,60888.0,23275.0,933.963,889.832,163.079,19.5,5.361,545.378222,0.0,68.672778,2.311,2.237,96.5,97.20000000000002,6.000000000000014,2010,10,4,91.2,96.0,101.6,117.9,81.89999999999999,94.80000000000001,106.11666666666667,102.81666666666666,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0
22,2010-11-01,44.844116,19.188,0.089156,77.791644,10.78944,4.348568063,4.397,53.0,34.9,15.3,0.9,48.3,16.3,3.8,2.9,1.0,32.200086862,0.551520273,85404.0,0.0,445.0,185.0,210.0,189.0,405.0,356.0,298.0,288.0,281.0,3746.0,66950.0,70958.0,24182.0,980.0,891.0,207.106,28.0,4.397,692.9972,0.089156,77.791644,4.428,1.685,87.5,88.5,-8.700000000000017,2010,11,4,97.20000000000002,91.2,96.0,88.49999999999999,81.1,92.30000000000001,106.11666666666667,103.43333333333334,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0
23,2010-12-01,75.87629,42.356509,129.515955,59.105135,10.27145,3.539349977,11.627,53.0,34.9,32.1,0.9,62.4,18.4,7.4,2.9,8.6,32.515757553,0.54786711,85618.0,0.0,482.0,185.0,195.0,190.0,398.0,349.0,291.0,295.0,282.0,5222.0,84227.0,78062.0,25662.0,1506.0,916.0,170.486,14.3,11.627,500.68791,129.515955,59.105135,5.875,9.67,124.10000000000002,132.70000000000002,44.20000000000002,2010,12,4,88.5,97.20000000000002,91.2,162.2,111.4,106.13333333333334,101.2,105.20833333333333,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0
24,2011-01-01,69.478869,40.85208,0.0,127.926641,10.522024,2.47908733,11.313,11.0,9.0,17.5,1.1,46.8,12.9,2.1,3.5,3.3,36.069298318,0.6148757,85522.0,0.0,451.0,191.0,196.0,192.0,405.0,353.0,301.0,306.0,282.0,3561.0,74768.0,80027.0,16491.0,1191.582,938.034,191.875,25.78,11.313,575.9553589999999,0.0,127.926641,5.476,5.743,83.9,87.2,-45.500000000000014,2011,1,1,132.70000000000002,88.5,97.20000000000002,101.6,85.80000000000001,102.8,98.80000000000001,105.325,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17
25,2011-02-01,48.023825,16.107106,0.0,2.613893,6.9786,1.078632346,12.071,11.0,9.0,41.1,1.3,51.1,13.0,4.0,0.0,0.8,31.490928486,0.596273565,85430.0,360.7142857142857,438.0681818181818,192.04545454545453,202.04545454545453,192.8409090909091,406.25,341.02272727272725,298.6363636363636,262.5,284.10714285714283,2795.0,78793.0,78225.0,12400.0,1079.797,888.815,188.177,9.8,12.071,762.353107,0.0,2.613893,5.235,5.226,110.5,111.3,24.099999999999994,2011,2,1,87.2,132.70000000000002,88.5,96.0,109.0,110.39999999999999,101.35000000000001,105.51666666666667,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
26,2011-03-01,75.769951,67.70981,123.093349,76.126901,7.631668,4.048167568,12.313,11.0,9.0,18.2,1.0,49.3,13.0,5.2,2.2,0.6,33.047235563,0.548755461,86017.0,349.5833333333333,434.6590909090909,190.22727272727272,198.97727272727272,198.63636363636363,406.25,334.65909090909093,297.6515151515152,280.0,282.9166666666667,3026.0,86591.0,69858.0,17312.0,1249.613,1272.583,242.709,23.025,12.313,527.59275,123.093349,76.126901,5.622,11.33,88.9,89.5,-21.799999999999997,2011,3,1,111.3,87.2,132.70000000000002,91.2,91.9,96.0,101.06666666666668,105.31666666666666,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17
27,2011-04-01,82.601113,20.521212,0.0,59.569661,14.578165,7.156668645,15.64,22.3,35.7,53.0,1.0,74.0,16.8,5.4,1.2,2.2,36.541845409,0.671742991,86599.0,259.0,407.0,197.0,207.0,203.0,406.0,351.0,296.0,281.0,284.0,4093.0,78634.0,69091.0,16018.0,1115.821,1115.38,830.027,22.66,15.64,663.362339,0.0,59.569661,6.212,29.546,151.4,153.6,64.1,2011,4,2,89.5,111.3,87.2,97.20000000000002,117.9,118.13333333333333,110.46666666666668,108.29166666666669,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0
28,2011-05-01,64.549796,43.606299,122.114144,47.805586,9.613821,2.472974424,16.387,22.3,35.7,21.3,1.0,40.7,8.6,4.2,0.0,1.7,33.62719055,0.03042,87544.0,231.0,352.0,211.0,222.0,211.0,406.0,336.0,298.0,286.0,287.0,3626.0,73613.0,60874.0,9669.0,1077.158,1198.919,245.188,23.6,16.387,573.27327,122.114144,47.805586,7.067,22.395,75.8,77.5,-76.1,2011,5,2,153.6,89.5,111.3,88.5,88.49999999999999,106.86666666666667,108.63333333333334,107.37500000000001,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0
29,2011-06-01,56.287516,24.90001,0.102774,42.727882,12.622642,6.398122336,10.571,22.3,35.7,47.1,1.0,26.0,16.3,3.7,0.4,15.4,33.340567707,0.564223203,88141.0,240.0,388.0,213.0,222.0,217.0,403.0,336.0,298.0,300.0,286.0,2808.0,62640.0,61801.0,8842.0,1361.852,1097.558,199.502,28.816,10.571,520.964344,0.102774,42.727882,6.16,12.156,94.5,109.9,32.400000000000006,2011,6,2,77.5,153.6,89.5,132.70000000000002,162.2,113.66666666666667,104.83333333333333,103.01666666666667,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0
